id,name,courses,specialization,numReq,catalogYear,isCompleted
2,Computer Science,"36,32,44,40,33,35,48,31,34,39,41,38,29,30,47,45,37,43",,200,2018-09-28,0
1,Communications and Multimedia Design,"17,6,19,13,20,16,21,18",,21,2018-09-26,0
